cost_vec,pax_vec,boost_vec,screen_vec,com_inc_vec
25000,50,60,twice-weekly,40
0,50,60,none,60
20000,50,60,weekly,60
22000,50,60,twice-weekly,60
0,50,60,none,80
21000,50,60,weekly,80
22000,50,60,twice-weekly,80
0,50,60,none,100
22000,50,60,weekly,100
22000,50,60,twice-weekly,100
0,75,60,none,5
97000,75,60,weekly,5
178000,75,60,twice-weekly,5
0,75,60,none,20
37000,75,60,weekly,20
44000,75,60,twice-weekly,20
0,75,60,none,40
29000,75,60,weekly,40
34000,75,60,twice-weekly,40
0,75,60,none,60
28000,75,60,weekly,60
31000,75,60,twice-weekly,60
0,75,60,none,80
28000,75,60,weekly,80
30000,75,60,twice-weekly,80
0,75,60,none,100
30000,75,60,weekly,100
30000,75,60,twice-weekly,100
0,100,60,none,5
159000,100,60,weekly,5
292000,100,60,twice-weekly,5
0,100,60,none,20
61000,100,60,weekly,20
71000,100,60,twice-weekly,20
0,100,60,none,40
48000,100,60,weekly,40
56000,100,60,twice-weekly,40
0,100,60,none,60
45000,100,60,weekly,60
50000,100,60,twice-weekly,60
0,100,60,none,80
46000,100,60,weekly,80
50000,100,60,twice-weekly,80
0,100,60,none,100
50000,100,60,weekly,100
49000,100,60,twice-weekly,100
0,0,80,none,5
59000,0,80,weekly,5
77000,0,80,twice-weekly,5
0,0,80,none,20
21000,0,80,weekly,20
25000,0,80,twice-weekly,20
0,0,80,none,40
16000,0,80,weekly,40
19000,0,80,twice-weekly,40
0,0,80,none,60
14000,0,80,weekly,60
16000,0,80,twice-weekly,60
0,0,80,none,80
15000,0,80,weekly,80
16000,0,80,twice-weekly,80
0,0,80,none,100
14000,0,80,weekly,100
15000,0,80,twice-weekly,100
0,25,80,none,5
71000,25,80,weekly,5
94000,25,80,twice-weekly,5
0,25,80,none,20
25000,25,80,weekly,20
30000,25,80,twice-weekly,20
0,25,80,none,40
19000,25,80,weekly,40
23000,25,80,twice-weekly,40
0,25,80,none,60
17000,25,80,weekly,60
20000,25,80,twice-weekly,60
0,25,80,none,80
18000,25,80,weekly,80
19000,25,80,twice-weekly,80
0,25,80,none,100
17000,25,80,weekly,100
18000,25,80,twice-weekly,100
0,50,80,none,5
90000,50,80,weekly,5
118000,50,80,twice-weekly,5
0,50,80,none,20
32000,50,80,weekly,20
38000,50,80,twice-weekly,20
0,50,80,none,40
24000,50,80,weekly,40
29000,50,80,twice-weekly,40
0,50,80,none,60
22000,50,80,weekly,60
25000,50,80,twice-weekly,60
0,50,80,none,80
23000,50,80,weekly,80
24000,50,80,twice-weekly,80
0,50,80,none,100
22000,50,80,weekly,100
23000,50,80,twice-weekly,100
0,75,80,none,5
123000,75,80,weekly,5
162000,75,80,twice-weekly,5
0,75,80,none,20
