cost_vec,pax_vec,boost_vec,screen_vec,com_inc_vec
797000,50,100,twice-weekly,20
0,50,100,none,40
345000,50,100,weekly,40
448000,50,100,twice-weekly,40
0,50,100,none,60
265000,50,100,weekly,60
297000,50,100,twice-weekly,60
0,50,100,none,80
211000,50,100,weekly,80
215000,50,100,twice-weekly,80
0,50,100,none,100
172000,50,100,weekly,100
175000,50,100,twice-weekly,100
0,75,100,none,5
3719000,75,100,weekly,5
4701000,75,100,twice-weekly,5
0,75,100,none,20
982000,75,100,weekly,20
1087000,75,100,twice-weekly,20
0,75,100,none,40
471000,75,100,weekly,40
610000,75,100,twice-weekly,40
0,75,100,none,60
361000,75,100,weekly,60
405000,75,100,twice-weekly,60
0,75,100,none,80
288000,75,100,weekly,80
293000,75,100,twice-weekly,80
0,75,100,none,100
234000,75,100,weekly,100
239000,75,100,twice-weekly,100
0,100,100,none,5
6107000,100,100,weekly,5
7718000,100,100,twice-weekly,5
0,100,100,none,20
1612000,100,100,weekly,20
1784000,100,100,twice-weekly,20
0,100,100,none,40
773000,100,100,weekly,40
1002000,100,100,twice-weekly,40
0,100,100,none,60
592000,100,100,weekly,60
665000,100,100,twice-weekly,60
0,100,100,none,80
473000,100,100,weekly,80
481000,100,100,twice-weekly,80
0,100,100,none,100
385000,100,100,weekly,100
392000,100,100,twice-weekly,100
